Employee ID,Age,Department,Position,Salary,Joining Date,Performance,Location,Education,Manager ID,Years in Company,Gender
1,52,Finance,Junior,40090,2023-11-15,Average,Los Angeles,PhD,1355,13,Male
2,38,Finance,Manager,113750,2011-01-20,Excellent,New York,Bachelor's,8749,12,Male
3,32,Marketing,Manager,88256,2016-11-18,Good,Los Angeles,PhD,9533,5,Female
4,41,Engineering,Senior,64029,2010-10-26,Below Average,Dallas,High School,4900,20,Male
5,40,Engineering,Junior,133142,2024-05-24,Excellent,New York,Bachelor's,3801,20,Male
6,65,HR,Intern,71315,2016-06-25,Below Average,Dallas,High School,401,20,Female
7,29,Engineering,Junior,112195,2021-03-31,Below Average,Los Angeles,High School,1083,18,Female
8,33,HR,Manager,42684,2010-05-04,Good,New York,PhD,6300,17,Male
9,57,Finance,Intern,73408,2015-08-19,Below Average,San Francisco,PhD,4211,13,Female
10,61,Marketing,Junior,93973,2024-12-02,Average,New York,Bachelor's,4663,18,Male
11,54,HR,Intern,108554,2010-03-17,Good,San Francisco,High School,1582,3,Male
12,39,Engineering,Senior,40415,2011-06-06,Below Average,Dallas,Master's,4786,20,Male
13,28,Sales,Intern,53533,2016-01-08,Below Average,San Francisco,Master's,8298,7,Female
14,63,Finance,Intern,142544,2013-11-16,Excellent,Los Angeles,High School,1941,15,Male
15,48,HR,Senior,35258,2016-11-16,Below Average,San Francisco,PhD,8070,4,Female
16,43,HR,Senior,129086,2013-11-21,Below Average,New York,Bachelor's,8693,13,Male
17,41,Engineering,Senior,69552,2017-12-21,Good,Chicago,Master's,6374,13,Female
18,27,Finance,Manager,59333,2012-10-02,Below Average,San Francisco,High School,8466,11,Female
19,39,Marketing,Intern,47087,2010-08-22,Good,Dallas,High School,6872,4,Male
20,24,HR,Intern,105704,2016-06-29,Average,San Francisco,Bachelor's,4702,15,Female
21,57,Engineering,Intern,66369,2019-08-06,Good,New York,PhD,2302,19,Female
22,38,HR,Junior,140514,2014-12-29,Below Average,Los Angeles,PhD,8873,3,Female
23,60,Engineering,Intern,145203,2017-03-22,Excellent,Los Angeles,PhD,4961,1,Male
24,44,Sales,Intern,30501,2013-07-19,Excellent,Dallas,PhD,6450,16,Male
25,54,Finance,Senior,99470,2021-05-02,Good,New York,PhD,3200,14,Female
26,30,HR,Manager,69844,2022-02-12,Excellent,Chicago,Master's,6895,2,Female
27,23,Engineering,Manager,138886,2024-01-18,Below Average,Los Angeles,Master's,6094,8,Male
28,42,Marketing,Senior,66438,2018-10-30,Below Average,Los Angeles,Bachelor's,7246,9,Female
29,37,HR,Junior,42237,2018-09-10,Good,Chicago,Master's,8645,17,Male
30,47,Marketing,Junior,75854,2019-07-02,Good,Dallas,Bachelor's,1903,18,Male
